Time [s],Packet ID,MOSI,MISO
11.015969999999999,0,0x01,0xFF
11.015979124999999,1,0x44,0xFF
11.015980125000000,1,0xFF,0x00
11.015986375000001,2,0x44,0xFF
11.015987375000000,2,0xFF,0x00
11.015993625000000,3,0x44,0xFF
11.015994624999999,3,0xFF,0x00
11.016000999999999,4,0x44,0xFF
11.016002000000000,4,0xFF,0x00
11.016008250000001,5,0x44,0xFF
11.016009250000000,5,0xFF,0xFF
11.016016125000000,6,0x44,0xFF
11.016017124999999,6,0xFF,0xFF
11.016018125000000,6,0xFF,0x22
11.016019125000000,6,0xFF,0x44
11.016020125000001,6,0xFF,0x63
11.016021125000000,6,0xFF,0x00
11.016022124999999,6,0xFF,0x86
11.016023125000000,6,0xFF,0x00
11.016024125000000,6,0xFF,0x00
11.016025125000001,6,0xFF,0x06
11.016121875000000,7,0x04,0xFF
11.016122875000001,7,0x21,0xFF
11.016123875000000,7,0x71,0xFF
11.016124874999999,7,0x4B,0xFF
11.016125875000000,7,0x00,0xFF
11.016126874999999,7,0x00,0xFF
11.016127875000000,7,0xDC,0xFF
11.016128875000000,7,0x95,0xFF
11.016178375000001,8,0x44,0xFF
11.016179375000000,8,0xFF,0x00
11.016184000000001,9,0x44,0xFF
11.016185000000000,9,0xFF,0x00
11.016190000000000,10,0x44,0xFF
11.016190999999999,10,0xFF,0x00
11.016196125000000,11,0x44,0xFF
11.016197125000000,11,0xFF,0x00
11.016202000000000,12,0x44,0xFF
11.016203000000001,12,0xFF,0x00
11.016207750000000,13,0x44,0xFF
11.016208750000001,13,0xFF,0x00
11.016213875000000,14,0x44,0xFF
11.016214916666666,14,0xFF,0x00
11.016219916666667,15,0x44,0xFF
11.016220916666667,15,0xFF,0x00
11.016226291666667,16,0x44,0xFF
11.016227291666667,16,0xFF,0x00
11.016232166666667,17,0x44,0xFF
11.016233166666666,17,0xFF,0x00
11.016237916666666,18,0x44,0xFF
11.016238916666667,18,0xFF,0x00
11.016243791666666,19,0x44,0xFF
11.016244791666667,19,0xFF,0x00
11.016249916666666,20,0x44,0xFF
